Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C33,100n,C_0402_1005Metric,137.8075,-112.435,180.0,top
C34,100n,C_0402_1005Metric,168.73,-93.36,-90.0,top
C35,100n,C_0402_1005Metric,180.972,-76.192,180.0,top
CR1,M24C02-RDW6TP,New_ESP32_M24C02-RMN6TP,136.6875,-115.875,0.0,top
D2,1N5819WS,D_SOD-323,131.3875,-100.935,0.0,top
D3,ASMB-MTB1-0A3A2,LED RGB,139.4625,-61.695,90.0,top
D4,ASMB-MTB1-0A3A2,LED RGB,154.4625,-61.695,90.0,top
D5,ASMB-MTB1-0A3A2,LED RGB,144.4625,-61.695,90.0,top
D10,1N5819WS,D_SOD-323,131.3875,-103.865,0.0,top
D11,LED,LED_0805_2012Metric,143.9975,-134.065,90.0,top
D18,ASMB-MTB1-0A3A2,LED RGB,149.4625,-61.695,90.0,top
J1,Conn_01x02_Female,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,136.776,-82.288,-90.0,top
J2,Conn_01x02_Female,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,181.2875,-116.125,90.0,top
J4,Conn_01x08_Male,PinHeader_1x08_P2.54mm_Vertical,183.0875,-88.76,0.0,top
J6,Conn_01x04_Female,1x4pin 1mm connector,168.0,-127.04,180.0,top
J7,Conn_01x04_Female,1x4pin 1mm connector,133.5375,-143.795,0.0,top
J8,Conn_01x06_Female,JST_PH_S6B-PH-SM4-TB_1x06-1MP_P2.00mm_Horizontal,181.2875,-129.325,90.0,top
J9,USB_C_Receptacle,USB_C_Receptacle_HRO_TYPE-C-31-M-12,150.2875,-143.046,0.0,top
J10,Conn_01x08_Female,JST_PH_S8B-PH-SM4-TB_1x08-1MP_P2.00mm_Horizontal,119.5575,-123.655,-90.0,top
J11,Conn_01x06_Female,JST_PH_S6B-PH-SM4-TB_1x06-1MP_P2.00mm_Horizontal,165.2375,-140.025,0.0,top
J12,Conn_01x04_Female,1x4pin 1mm connector,175.04,-127.03,180.0,top
J13,Conn_01x04_Female,1x4pin 1mm connector,133.534,-60.722,180.0,top
J15,Conn_01x02_Female,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,171.5375,-61.425,180.0,top
R1,4k7,R_0402_1005Metric,174.25,-109.6,90.0,top
R2,5k1,R_0402_1005Metric,152.0875,-134.525,-90.0,top
