Ref,Val,Package,PosX,PosY,Rot,Side
"R21","1k5","R_0402_1005Metric",118.107500,-138.025000,-90.000000,top
"R22","330","R_0402_1005Metric",125.987500,-116.675000,0.000000,top
"R23","180","R_0402_1005Metric",131.987500,-73.025000,90.000000,top
"R24","150","R_0402_1005Metric",130.937500,-73.025000,90.000000,top
"R25","150","R_0402_1005Metric",129.887500,-73.025000,90.000000,top
"R26","330","R_0402_1005Metric",125.987500,-118.625000,0.000000,top
"R27","330","R_0402_1005Metric",125.987500,-120.625000,0.000000,top
"R28","330","R_0402_1005Metric",126.087500,-122.725000,0.000000,top
"R29","330","R_0402_1005Metric",125.987500,-128.575000,0.000000,top
"R30","330","R_0402_1005Metric",125.987500,-124.725000,0.000000,top
"R31","330","R_0402_1005Metric",125.987500,-126.675000,0.000000,top
"R32","4k7","R_0402_1005Metric",147.487500,-87.525000,90.000000,top
"R33","180","R_0402_1005Metric",131.307500,-65.625000,-90.000000,top
"R34","150","R_0402_1005Metric",130.217500,-65.635000,-90.000000,top
"R35","150","R_0402_1005Metric",129.147500,-65.625000,-90.000000,top
"R36","1k","R_0402_1005Metric",137.987500,-101.945000,-90.000000,top
"R37","2k","R_0402_1005Metric",137.937500,-104.875000,-90.000000,top
"R38","10k","R_0402_1005Metric",138.587500,-99.435000,-90.000000,top
"R39","6.8k","R_0402_1005Metric",139.937500,-99.425000,-90.000000,top
"R40","1","R_0402_1005Metric",170.597500,-67.895000,-90.000000,top
"R41","0","R_0402_1005Metric",137.117500,-132.905000,180.000000,top
"SW1","SW_Push","SW_DIP_SPSTx01_Slide_6.7x4.1mm_W6.73mm_P2.54mm_LowProfile_JPin",117.067500,-61.375000,90.000000,top
"SW2","SW_Push","SW_DIP_SPSTx01_Slide_6.7x4.1mm_W6.73mm_P2.54mm_LowProfile_JPin",163.937500,-61.175000,90.000000,top
"SW3","SW_Push","SW_DIP_SPSTx01_Slide_6.7x4.1mm_W6.73mm_P2.54mm_LowProfile_JPin",158.687500,-61.225000,90.000000,top
"U1","STM32F405RGTx","LQFP-64_10x10mm_P0.5mm",150.387500,-105.425000,180.000000,top
"U2","AMS1117-3.3","SOT-223-3_TabPin2",169.387500,-85.035000,90.000000,top
"U3","CH340C","SOIC-16_3.9x9.9mm_P1.27mm",155.937500,-123.895000,90.000000,top
"U4","USBLC6-2P6","SOT-666",157.937500,-129.975000,0.000000,top
"U5","STM32F091CCT6","LQFP-48_7x7mm_P0.5mm",172.537500,-98.125000,90.000000,top
"U6","WM8960CGEFL/RV","QFN50P500X500X90-33N",166.840000,-116.325000,0.000000,top
"U11","ESP32-S3-WROOM-1-N8R2","ESP32-S3-WROOM-1U",153.237500,-76.200000,0.000000,top
"U12","MCP73832-2-OT","SOT-23-5",135.537500,-103.875000,-90.000000,top
"U13","BM14B(0.8)-24DS-0.4V(53)","BM14B(0.B)-24DS-0.4V(53)",138.107500,-131.035000,90.000000,top
"Y1","Crystal_GND24","Crystal_SMD_3225-4Pin_3.2x2.5mm",171.987500,-106.125000,0.000000,top
