Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
120R1,FerriteBead,L_0603_1608Metric,250.9,-116.1,0.0,top
C1,4u7,C_0402_1005Metric,237.05,-147.35,90.0,top
C2,22u,C_0402_1005Metric,262.94,-99.21,-90.0,top
C3,4.7u,C_0402_1005Metric,257.9,-124.65,90.0,top
C4,33P,C_0805_2012Metric,257.9,-119.35,-90.0,top
C5,10U,C_0402_1005Metric,243.95,-142.75,90.0,top
C6,4.7u,C_0402_1005Metric,260.14,-129.08,0.0,top
C7,100n,C_0402_1005Metric,253.7,-124.65,-90.0,top
C8,10n,C_0402_1005Metric,247.75,-116.15,-90.0,top
C9,1u,C_0402_1005Metric,248.85,-116.15,-90.0,top
C10,1u,C_0402_1005Metric,252.95,-116.15,-90.0,top
C11,100n,C_0402_1005Metric,242.6,-110.45,0.0,top
C12,100n,C_0402_1005Metric,243.25,-125.5,180.0,top
C13,100n,C_0402_1005Metric,233.15,-122.9,180.0,top
C14,100n,C_0402_1005Metric,234.8,-111.7,90.0,top
C15,100n,C_0402_1005Metric,254.15,-132.75,0.0,top
C16,100n,C_0402_1005Metric,252.2,-131.7,90.0,top
C17,1u,C_0402_1005Metric,251.55,-127.85,0.0,top
C18,1u,C_0402_1005Metric,251.55,-128.9,0.0,top
C19,4u7,C_0402_1005Metric,225.25,-112.08,90.0,top
C20,100n,C_0402_1005Metric,269.75,-110.2,90.0,top
C21,2u2,C_0402_1005Metric,235.85,-110.3,-90.0,top
C22,2u2,C_0402_1005Metric,231.8,-121.7,0.0,top
C23,33P,C_0805_2012Metric,264.35,-118.8,90.0,top
C24,100n,C_0402_1005Metric,258.01,-116.34,-90.0,top
C25,100n,C_0402_1005Metric,266.6,-106.45,90.0,top
C26,100n,C_0402_1005Metric,256.0,-113.6,90.0,top
C27,1u,C_0402_1005Metric,251.55,-129.95,0.0,top
C28,4.7u,C_0402_1005Metric,251.55,-126.8,180.0,top
C29,100U,C_1206_3216Metric,255.6,-120.38,90.0,top
C30,100U,C_1206_3216Metric,253.17,-120.38,90.0,top
C31,4.7u,C_0402_1005Metric,256.85,-124.65,-90.0,top
C32,100n,C_0402_1005Metric,241.46,-141.33,90.0,top
C33,100n,C_0402_1005Metric,226.97,-125.11,180.0,top
CR1,M24C02-RDW6TP,New_ESP32_M24C02-RMN6TP,225.85,-128.55,0.0,top
D2,1N5819WS,D_SOD-323,220.55,-113.61,0.0,top
D3,ASMB-MTB1-0A3A2,LED RGB,228.625,-74.37,90.0,top
D4,ASMB-MTB1-0A3A2,LED RGB,243.625,-74.37,90.0,top
D5,ASMB-MTB1-0A3A2,LED RGB,233.625,-74.37,90.0,top
D10,1N5819WS,D_SOD-323,220.55,-116.54,0.0,top
