Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_0402_1005Metric,151.26,-136.79,-90.0,top
C10,1u,C_0402_1005Metric,151.26,-129.02,-90.0,top
C11,100n,C_0402_1005Metric,159.155877,-74.163435,90.0,top
C12,100n,C_0402_1005Metric,160.116702,-89.573525,180.0,top
C13,100n,C_0402_1005Metric,150.51,-87.27,-90.0,top
C14,100n,C_0402_1005Metric,151.232428,-74.800773,180.0,top
C15,100n,C_0402_1005Metric,165.6275,-122.54,180.0,top
C16,100n,C_0402_1005Metric,167.51,-123.56,-90.0,top
C17,2u2,C_0402_1005Metric,151.188244,-75.798099,0.0,top
C18,1u,C_0402_1005Metric,167.8975,-127.29,0.0,top
C19,2u2,C_0402_1005Metric,148.51,-85.79,90.0,top
C2,10u,C_0402_1005Metric,135.471401,-141.971263,90.0,top
C20,100n,C_0402_1005Metric,145.76,-126.04,0.0,top
C21,10u,C_0402_1005Metric,140.923996,-141.977327,-90.0,top
C23,33p,C_0805_2012Metric,150.26,-113.7775,0.0,top
C24,100n,C_0402_1005Metric,152.51475,-107.358126,-90.0,top
C25,100n,C_0402_1005Metric,161.224411,-116.836126,0.0,top
C26,100n,C_0402_1005Metric,155.51,-104.79,-90.0,top
C28,4.7u,C_0402_1005Metric,167.8775,-129.29,0.0,top
C29,100u,C_1206_3216Metric,157.01,-141.29,90.0,top
C3,4u7,C_0402_1005Metric,161.76,-130.64,-90.0,top
C30,100u,C_1206_3216Metric,157.024831,-135.922413,90.0,top
C31,4.7u,C_0402_1005Metric,162.76,-130.64,-90.0,top
C32,100n,C_0402_1005Metric,137.99,-124.29,180.0,top
C34,100n,C_0402_1005Metric,163.025,-107.32,0.0,top
C35,100n,C_0402_1005Metric,150.78,-115.79,180.0,top
C36,100n,C_0402_1005Metric,133.76,-53.29,90.0,top
C37,100n,C_0805_2012Metric,122.14,-140.26,180.0,top
C38,10u,C_0805_2012Metric,122.12,-142.29,180.0,top
C39,10u,C_0805_2012Metric,125.63,-142.28,0.0,top
C4,33p,C_0805_2012Metric,150.145,-107.3275,180.0,top
C40,100n,C_0805_2012Metric,126.81,-136.21,-90.0,top
C41,2p2,C_0805_2012Metric,127.99,-133.43,0.0,top
C42,100n,C_0805_2012Metric,123.7,-131.78,0.0,top
C43,10u,C_0805_2012Metric,120.26,-129.75,180.0,top
C44,10u,C_0805_2012Metric,120.27,-127.72,180.0,top
C45,10u,C_0805_2012Metric,120.28,-125.69,180.0,top
C46,10u,C_0805_2012Metric,123.73,-125.68,0.0,top
C47,10u,C_0805_2012Metric,123.73,-129.74,0.0,top
C48,10u,C_0805_2012Metric,123.74,-127.71,0.0,top
C5,1u,C_0402_1005Metric,167.9175,-126.29,0.0,top
C56,100n,C_0402_1005Metric,163.26,-87.31,-90.0,top
C6,4u7,C_0402_1005Metric,160.01,-126.52,90.0,top
C7,100n,C_0402_1005Metric,165.95,-130.64,90.0,top
C8,10n,C_0402_1005Metric,156.01,-127.77,-90.0,top
C9,1u,C_0402_1005Metric,155.01,-127.77,-90.0,top
CN2,Conn_05x02_Female,IDC-SMD_10P-P1.27_X1270WVS-2X05B-6TV01,176.31,-90.33,90.0,top
CN3,Conn_01x06_Female,JST_SH_BM06B-SRSS-TB_1x06-1MP_P1.00mm_Vertical,175.81,-111.59,-90.0,top
CN4,Conn_01x06_Female,JST_SH_BM06B-SRSS-TB_1x06-1MP_P1.00mm_Vertical,175.81,-101.74,-90.0,top
CN5,Conn_02x05_Male,IDC-SMD_10P-P1.27_X1270WVS-2X05B-6TV01,176.31,-136.04,90.0,top
CN6,Conn_02x05_Male,IDC-SMD_10P-P1.27_X1270WVS-2X05B-6TV01,176.31,-123.0,90.0,top
CN7,Conn_02x05_Male,IDC-SMD_10P-P1.27_X1270WVS-2X05B-6TV01,141.01,-49.54,0.0,top
D1,LED,D_0805_2012Metric,133.908901,-143.951263,180.0,top
D2,1N5819WS,D_SOD-323,130.51,-137.29,-90.0,top
D3,NH-B1515RGBA-HF,LED-ARRAY-SMD_4P-L1.6-W1.5-TL_NH-B1515RGBA,129.053691,-59.00382,90.0,top
D4,NH-B1515RGBA-HF,LED-ARRAY-SMD_4P-L1.6-W1.5-TL_NH-B1515RGBA,129.11,-54.84,90.0,top
D5,NH-B1515RGBA-HF,LED-ARRAY-SMD_4P-L1.6-W1.5-TL_NH-B1515RGBA,172.530133,-59.248014,90.0,top
D6,1N5819WS,D_SOD-323,132.51,-137.29,-90.0,top
D7,NH-B1515RGBA-HF,LED-ARRAY-SMD_4P-L1.6-W1.5-TL_NH-B1515RGBA,175.441816,-59.284632,90.0,top
J1,Conn_01x02_Socket,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,133.26,-118.54,-90.0,top
J10,Conn_01x08_Socket,JST_SHL_SM08B-SHLS-TF_1x08-1MP_P1.00mm_Horizontal,170.21,-99.49,-90.0,top
J2,AudioJack1,Jack_3.5mm_PJ320D_Horizontal,163.26,-138.365,90.0,top
J3,Conn_01x06_Socket,JST_SH_BM06B-SRSS-TB_1x06-1MP_P1.00mm_Vertical,175.81,-78.84,-90.0,top
J9,USB_C_Receptacle,USB_C_Receptacle_HRO_TYPE-C-31-M-12,147.0,-141.586,0.0,top
L1,1uH,MCL2016A1R0MT,116.575327,-136.000688,90.0,top
L2,120R1,L_0603_1608Metric,152.7975,-126.04,0.0,top
R1,100k,R_0402_1005Metric,126.59,-139.48,180.0,top
R10,4k7,R_0402_1005Metric,134.976205,-53.312585,90.0,top
R11,150R,R_0402_1005Metric,129.01,-62.28,-90.0,top
R12,150R,R_0402_1005Metric,128.013933,-62.279493,-90.0,top
R13,180,R_0402_1005Metric,132.757326,-58.523156,-90.0,top
R14,150,R_0402_1005Metric,131.76,-58.53,-90.0,top
R15,150R,R_0402_1005Metric,130.765095,-58.531837,-90.0,top
R16,180R,R_0402_1005Metric,173.01,-61.78,90.0,top
R17,150R,R_0402_1005Metric,172.01,-61.79,90.0,top
R18,150R,R_0402_1005Metric,171.01,-61.78,90.0,top
R19,360k,R_0402_1005Metric,127.68369,-131.419153,90.0,top
R2,5k1,R_0402_1005Metric,150.51,-134.03,90.0,top
R20,64k9,R_0402_1005Metric,129.22,-131.88,180.0,top
R21,100k,R_0402_1005Metric,126.58,-138.49,0.0,top
R22,10k,R_0402_1005Metric,136.128744,-140.052812,180.0,top
R23,180R,R_0402_1005Metric,176.01,-61.78,90.0,top
R24,150R,R_0402_1005Metric,174.01,-61.78,90.0,top
R25,150R,R_0402_1005Metric,175.01,-61.78,90.0,top
R26,680,R_0402_1005Metric,140.971401,-143.941263,90.0,top
R27,1k5,R_0402_1005Metric,133.843901,-142.464222,180.0,top
R28,1k0,R_0402_1005Metric,174.5,-71.54,180.0,top
R29,1k0,R_0402_1005Metric,170.01,-53.78,90.0,top
R3,5k1,R_0402_1005Metric,149.51,-134.04,90.0,top
R30,0,R_0402_1005Metric,145.75,-120.54,180.0,top
R31,1k0,R_0402_1005Metric,149.0,-132.54,0.0,top
R32,4k7,R_0402_1005Metric,154.5,-69.29,0.0,top
R33,1k0,R_0402_1005Metric,151.01,-132.54,180.0,top
R34,1k0,R_0402_1005Metric,129.5,-66.04,180.0,top
R35,3k0,R_0402_1005Metric,131.797668,-66.04,180.0,top
R36,1k0,R_0402_1005Metric,143.76,-55.53,90.0,top
R37,1k0,R_0402_1005Metric,144.76,-55.55,90.0,top
R38,1k0,R_0402_1005Metric,145.76,-55.54,90.0,top
R39,1k0,R_0402_1005Metric,140.76,-55.55,90.0,top
R4,15k,R_0402_1005Metric,148.26,-49.54,-90.0,top
R40,1k0,R_0402_1005Metric,141.76,-55.55,90.0,top
R41,1k0,R_0402_1005Metric,142.76,-55.55,90.0,top
R42,0R1,R_0603_1608Metric,128.606346,-136.465,-90.0,top
R5,4k7,R_0402_1005Metric,153.01,-73.28,90.0,top
