"Source:","C:\Users\finberg\OneDrive - Cisco\Desktop\HACTAR\EV0\EV0.kicad_sch"
"Date:","2023-01-31 2:16:52 PM"
"Tool:","Eeschema (6.0.11)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","3"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"D1, ","1","LED","LED","LED_SMD:LED_0805_2012Metric","Light emitting diode",""
"J1, ","1","5V","Screw_Terminal_01x02","Connector_PinHeader_1.00mm:PinHeader_1x02_P1.00mm_Vertical_SMD_Pin1Right","Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"R1, ","1","470","R","Resistor_SMD:R_0805_2012Metric","Resistor",""
